usage_start_date,cloud_provider,billing_account_id,environment,region,service_name,usage_type,usage_quantity,unblended_cost,currency,resource_id,line_item_description,tag_cost_center
2025-10-01,AWS,ACT-6091,Prod,us-east-1,EC2,RunInstances,22.0184,9.91,USD,aws-ec2-prod-001,Charge for EC2 RunInstances in us-east-1,FIN-OPS
2025-10-01,AWS,ACT-1000,Prod,us-east-1,EC2,EBS:VolumeUsage,17.2008,7.74,USD,aws-ec2-prod-001,Charge for EC2 EBS:VolumeUsage in us-east-1,FIN-OPS
2025-10-01,AWS,ACT-6917,Prod,us-east-1,EC2,DataTransfer-Out,58.4341,26.3,USD,aws-ec2-prod-001,Charge for EC2 DataTransfer-Out in us-east-1,FIN-OPS
2025-10-01,AWS,ACT-7549,Prod,us-east-1,S3,StandardStorage,41.768,18.8,USD,aws-s3-prod-001,Charge for S3 StandardStorage in us-east-1,FIN-OPS
2025-10-01,AWS,ACT-4485,Prod,us-east-1,S3,Select-Storage,78.9666,35.53,USD,aws-s3-prod-001,Charge for S3 Select-Storage in us-east-1,FIN-OPS
2025-10-01,AWS,ACT-2243,Prod,us-east-1,S3,DataTransfer-Out,40.5045,18.23,USD,aws-s3-prod-001,Charge for S3 DataTransfer-Out in us-east-1,FIN-OPS
2025-10-01,AWS,ACT-2899,Prod,us-east-1,RDS,db.m5.large,92.2535,41.51,USD,aws-rds-prod-001,Charge for RDS db.m5.large in us-east-1,FIN-OPS
2025-10-01,AWS,ACT-8753,Prod,us-east-1,RDS,StorageUsage,13.4035,6.03,USD,aws-rds-prod-001,Charge for RDS StorageUsage in us-east-1,FIN-OPS
2025-10-01,AWS,ACT-1946,Prod,us-east-1,Lambda,Lambda-GB-Second,10.6069,4.77,USD,aws-lambda-prod-001,Charge for Lambda Lambda-GB-Second in us-east-1,FIN-OPS
2025-10-01,AWS,ACT-3786,Prod,us-east-1,Lambda,Requests,96.4781,43.42,USD,aws-lambda-prod-001,Charge for Lambda Requests in us-east-1,FIN-OPS
2025-10-01,AWS,ACT-5829,Prod,us-east-1,Databricks,Premium-Worker-DBU,98.6172,44.38,USD,aws-databricks-prod-001,Charge for Databricks Premium-Worker-DBU in us-east-1,FIN-OPS
2025-10-01,AWS,ACT-7983,Prod,us-east-1,Databricks,Serverless-SQL-DBU,11.6422,5.24,USD,aws-databricks-prod-001,Charge for Databricks Serverless-SQL-DBU in us-east-1,FIN-OPS
